"datasetId","datasetName","region","delay","universe","fieldCount","matrixCount","vectorCount","groupCount","symbolCount","csvFile","jsonFile"
"model216","Analyst Revisions Model Data","DEU","1","TOP500","45","0","45","0","0","model216.csv","model216.json"
"model219","Canadian Equity Quantitative Models","DEU","1","TOP500","1172","1171","0","0","1","model219.csv","model219.json"
"model230","Factor Ratios and its Rank Model","DEU","1","TOP500","670","666","0","0","4","model230.csv","model230.json"
"model238","SmartHoldings Model","DEU","1","TOP500","22","22","0","0","0","model238.csv","model238.json"
"model239","Short Selling Model","DEU","1","TOP500","29","0","29","0","0","model239.csv","model239.json"
"model25","Earnings Quality","DEU","1","TOP500","217","217","0","0","0","model25.csv","model25.json"
"model250","Nonlinear adaptive model","DEU","1","TOP500","20","20","0","0","0","model250.csv","model250.json"
"model252","Systematic Hedging for Investors to Evade Large Drawdowns","DEU","1","TOP500","3","0","3","0","0","model252.csv","model252.json"
"model257","International sentiment analysis NLP model","DEU","1","TOP500","4","4","0","0","0","model257.csv","model257.json"
"model26","Analyst Revisions","DEU","1","TOP500","548","548","0","0","0","model26.csv","model26.json"
"model262","DNN prediction of fundamentals","DEU","1","TOP500","159","159","0","0","0","model262.csv","model262.json"
"model264","Predictive data using Deep Learning models","DEU","1","TOP500","380","380","0","0","0","model264.csv","model264.json"
"model27","Credit Risk Model","DEU","1","TOP500","12","12","0","0","0","model27.csv","model27.json"
"model28","Structural Credit Risk Model","DEU","1","TOP500","25","25","0","0","0","model28.csv","model28.json"
"model29","EBITDA Estimate Model","DEU","1","TOP500","14","14","0","0","0","model29.csv","model29.json"
"model30","EPS Estimate Model","DEU","1","TOP500","14","14","0","0","0","model30.csv","model30.json"
"model307","Global Sales Allocation Model Data","DEU","1","TOP500","11","0","11","0","0","model307.csv","model307.json"
"model313","Intangible Asset Factors","DEU","1","TOP500","4","4","0","0","0","model313.csv","model313.json"
"model32","Price Momentum Model","DEU","1","TOP500","12","12","0","0","0","model32.csv","model32.json"
"model36","SmartRatios Model","DEU","1","TOP500","20","20","0","0","0","model36.csv","model36.json"
"model37","Text Mining Data","DEU","1","TOP500","29","29","0","0","0","model37.csv","model37.json"
"model38","Growth Valuation Model","DEU","1","TOP500","71","71","0","0","0","model38.csv","model38.json"
"model53","Creditworthiness Risk Measure Model","DEU","1","TOP500","22","21","0","0","1","model53.csv","model53.json"
"model68","Risk-Alleviated Momentum Scores","DEU","1","TOP500","4","0","4","0","0","model68.csv","model68.json"
"model77","Analysts' Factor Model","DEU","1","TOP500","51","51","0","0","0","model77.csv","model77.json"
"multi_horizon_alpha","Multi Horizon Alpha Decomposition","DEU","1","TOP500","147","147","0","0","0","multi_horizon_alpha.csv","multi_horizon_alpha.json"
"multi_source_model","Multi-Source Market Return Prediction","DEU","1","TOP500","60","60","0","0","0","multi_source_model.csv","multi_source_model.json"
